,Distinction,Name,Location,Price,Cuisine
622,1 Star,MAIN TOWER Restaurant & Lounge,"Frankfurt on the Main, Germany",€€€€,Asian Influences
623,1 Star,Troyka,"Erkelenz, Germany",€€€€,Modern Cuisine
624,1 Star,5,"Stuttgart, Germany",€€€,Modern Cuisine
625,1 Star,BjörnsOx,"Dermbach, Germany",€€€€,Creative
626,1 Star,Mod by Sven Nöthel,"Duisburg, Germany",€€€€,Modern Cuisine
627,1 Star,Mountain Hub Gourmet,"Munich, Germany",€€€€,Modern Cuisine
628,1 Star,"Gourmetrestaurant ""fine dining RS""","Salach, Germany",€€€€,French Contemporary
629,1 Star,Laurentius,"Weikersheim, Germany",€€€€,Classic Cuisine
630,1 Star,Zeitwerk,"Wernigerode, Germany",€€€€,Creative
631,1 Star,Schwarzer Hahn,"Deidesheim, Germany",€€€€,Modern French
632,1 Star,Friedrich Franz,"Bad Doberan, Germany",€€€€,Modern Cuisine
633,1 Star,Spitzner,"Münster, Germany",€€€,Modern French
634,1 Star,Werneckhof Sigi Schelling,"Munich, Germany",€€€€,French Contemporary
635,1 Star,Kulmeck by Tom Wickboldt,"Heringsdorf, Germany",€€€€,Modern Cuisine
636,1 Star,Winzerhof Stahl,"Simmershofen, Germany",€€€€,Modern Cuisine
637,1 Star,Erno's Bistro,"Frankfurt on the Main, Germany",€€€€,Classic French
638,1 Star,Hannappel,"Essen, Germany",€€€€,Modern Cuisine
639,1 Star,Alte Schule - Klassenzimmer,"Feldberger Seenlandschaft, Germany",€€€€,Modern Cuisine
640,1 Star,Alt Wyk,"Wyk, Germany",€€€€,Classic Cuisine
641,1 Star,Seven Swans,"Frankfurt on the Main, Germany",€€€€,Vegan
642,1 Star,Yoshi by Nagaya,"Düsseldorf, Germany",€€€€,Japanese
643,1 Star,Genuss-Atelier,"Dresden, Germany",€€€,Modern Cuisine
644,1 Star,die burg,"Donaueschingen, Germany",€€,Farm to table
645,1 Star,Schiller's Manufaktur,"Koblenz, Germany",€€€€,Classic Cuisine
646,1 Star,Le Moissonnier Bistro,"Cologne, Germany",€€€,French
647,1 Star,Cheval Blanc,"Illschwang, Germany",€€€€,Classic Cuisine
648,1 Star,Frieda,"Leipzig, Germany",€€€€,Creative
649,1 Star,360°,"Limburg an der Lahn, Germany",€€€€,Modern Cuisine
650,1 Star,Storchen,"Bad Krozingen, Germany",€€€,Classic Cuisine
651,1 Star,Ich weiß ein Haus am See,"Krakow am See, Germany",€€€€,Classic French
652,1 Star,Rosin,"Dorsten, Germany",€€€€,Creative
653,1 Star,taku,"Cologne, Germany",€€€€,Asian
654,1 Star,Goldener Anker,"Dorsten, Germany",€€€€,Modern Cuisine
655,1 Star,Sahila - The Restaurant,"Cologne, Germany",€€€€,International
656,1 Star,mural,"Munich, Germany",€€€€,Creative
657,1 Star,Friedrich,"Osnabrück, Germany",€€€€,Modern French
658,1 Star,Gasthof zum Bad,"Langenau, Germany",€€,Classic Cuisine
659,1 Star,Leos by Stephan Brandl,"Bad Kötzing, Germany",€€€€,Creative
660,1 Star,JUWEL,"Schirgiswalde-Kirschau, Germany",€€€€,Modern French
661,1 Star,Oben,"Heidelberg, Germany",€€€€,Creative
662,1 Star,Apicius,"Bad Zwischenahn, Germany",€€€€,Modern French
663,1 Star,Jellyfish,"Hamburg, Germany",€€€€,Seafood
664,1 Star,Mühlenhelle,"Gummersbach, Germany",€€€€,Modern French
665,1 Star,Piment,"Hamburg, Germany",€€€€,Creative
666,1 Star,Das garbo zum Löwen,"Eggenstein-Leopoldshafen, Germany",€€€€,Farm to table
667,1 Star,Masa Japanese Cuisine,"Frankfurt on the Main, Germany",€€€€,Japanese
668,1 Star,bidlabu,"Frankfurt on the Main, Germany",€€€,Farm to table
669,1 Star,halbedel's Gasthaus,"Bonn, Germany",€€€€,Modern French
670,1 Star,St. Andreas,"Aue - Bad Schlema, Germany",€€€€,Modern Cuisine
671,1 Star,tulus lotrek,"Berlin, Germany",€€€€,Modern Cuisine
672,1 Star,Esszimmer im Oberschwäbischen Hof,"Schwendi, Germany",€€€,Modern Cuisine
673,1 Star,KUNO 1408,"Würzburg, Germany",€€€€,Creative
674,1 Star,Johanns,"Waldkirchen, Germany",€€,Modern Cuisine
675,1 Star,Alte Liebe,"Augsburg, Germany",€€€€,Modern Cuisine
676,1 Star,Yunico,"Bonn, Germany",€€€€,Japanese
677,1 Star,Sterneck,"Cuxhaven, Germany",€€€€,Creative
678,1 Star,faelt,"Berlin, Germany",€€€,Contemporary
679,1 Star,Intense,"Wachenheim an der Weinstraße, Germany",€€€€,Fusion
680,1 Star,SKYKITCHEN,"Berlin, Germany",€€€€,Modern Cuisine
681,1 Star,Wachter Foodbar,"Prien am Chiemsee, Germany",€€€€,Modern Cuisine
682,1 Star,mural farmhouse - FINE DINE,"Munich, Germany",€€€€,Seasonal Cuisine
683,1 Star,Shiraz,"Wuppertal, Germany",€€€€,Classic French
684,1 Star,Brothers,"Munich, Germany",€€€€,Modern Cuisine
685,1 Star,Das Marktrestaurant,"Mittenwald, Germany",€€€,Country cooking
686,1 Star,Cédric,"Weinstadt, Germany",€€€,Modern Cuisine
